"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"1694",6,1,81,0,0.04899094,0.04,-1,-1,0,0,0,1,0,0,0,0
"1701",6,1,82,0,0.05524747,0.04,-1,-1,0,0,0,1,0,0,0,0
"1708",6,1,83,0,0.06156853,0.03,-1,-1,0,0,0,1,0,0,0,0
"1715",6,1,84,0,0.06796158,1.32,-1,1,0,0,0,1,0,0,0,0
"1722",6,1,85,0,0.07563048,1.88,-0.800000000000011,1,0,0,0,1,0,0,0,0
"1729",6,2,86,0,0.0855519,1.58,-0.5,1,0,0,0,1,0,0,0,0
"1736",6,2,87,0,0.09706969,1.35,-0.300000000000011,1,0,0,0,1,0,0,0,0
"1743",6,2,89,0,0.11040392,1.15,-0.0999999999999943,1,0,0,0,1,0,0,0,0
"1750",6,2,90,0,0.12511919,0.97,0.0999999999999943,1,0,0,0,1,0,0,0,0
"1757",6,2,91,0,0.14098264,0.83,0.199999999999989,1,0,0,0,1,0,0,0,0
"1764",6,2,92,0,0.15780656,0.7,0.300000000000011,1,0,0,0,1,0,0,0,0
"1771",6,2,93,0,0.17552334,0.6,0.400000000000006,1,0,0,0,1,0,0,0,0
"1778",6,2,94,0,0.19406111,2.87,0.5,4,0,0,0,1,0,0,0,0
"1785",6,2,95,0,0.21496336,3.18,1,4,0,0,0,1,0,0,0,0
"1792",6,2,96,0,0.23996707,2.65,1.40000000000001,4,0,0,0,0,0,0,0,0
"1799",6,3,97,0,0.26691333,-6.11,1.59999999999999,4,0,0,0,0,0,0,0,0
"1806",6,3,98,0,0.28803038,-6.91,0.5,4,0,0,0,0,0,0,0,0
