"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"1505",6,0.03726571,-0.15,-2.90000000000001,-2.90000000000001,-3,0,2,0,1,2,2,0,0
"1512",6,0.03113156,-0.12,-2.90000000000001,-2.90000000000001,-3,0,2,0,1,1,1,0,0
"1519",6,0.02482234,0.37,-2.90000000000001,-2.90000000000001,-2,0,2,0,1,1,1,0,0
"1526",6,0.0190694,0.83,-2.69999999999999,-2.69999999999999,-2,0,2,0,1,1,1,0,0
"1533",6,0.01406481,0.64,-2.59999999999999,-2.59999999999999,-2,0,2,0,1,1,1,0,0
"1540",6,0.00978289,0.53,-2.5,-2.5,-2,0,2,0,1,1,1,0,0
"1547",6,0.00609477,0.43,-2.40000000000001,-2.40000000000001,-2,0,2,0,0,1,1,0,0
"1554",6,0.00284104,0.35,-2.30000000000001,-2.30000000000001,-2,0,1,0,0,1,1,0,0
"1561",6,1.798e-05,0.29,-2.30000000000001,-2.30000000000001,-2,0,1,0,0,1,1,0,0
"1568",6,-0.00246329,0.24,-2.19999999999999,-2.19999999999999,-2,0,1,0,0,1,1,0,0
"1575",6,-0.00470309,0.19,-2.19999999999999,-2.19999999999999,-2,0,1,0,0,1,1,0,0
"1582",6,-0.00675873,0.16,-2.09999999999999,-2.09999999999999,-2,0,1,0,0,1,1,0,0
"1589",6,-0.00860751,0.13,-2.09999999999999,-2.09999999999999,-2,0,1,0,0,1,1,0,0
"1596",6,-0.01025049,0.11,-2.09999999999999,-2.09999999999999,-2,0,1,0,0,1,1,0,0
"1603",6,-0.01183637,0.09,-2.09999999999999,-2.09999999999999,-2,0,1,0,0,1,1,0,0
"1610",6,-0.01335207,0.07,-2.09999999999999,-2.09999999999999,0,0,1,0,0,1,1,0,0
"1617",6,-0.01451453,2.16,-1.90000000000001,-1.90000000000001,0,0,1,0,0,1,1,0,0
"1624",6,-0.01365225,1.65,-1.59999999999999,-1.59999999999999,0,0,1,0,0,1,1,0,0
"1631",6,-0.01081026,1.38,-1.30000000000001,-1.30000000000001,0,0,1,0,0,1,1,0,0
"1638",6,-0.00632906,1.14,-1.09999999999999,-1.09999999999999,0,0,1,0,0,1,1,0,0
"1645",6,-0.00043919,0.95,-0.900000000000006,-0.900000000000006,0,0,1,0,0,1,1,0,0
"1652",6,0.00653575,0.78,-0.699999999999989,-0.699999999999989,0,0,1,0,0,1,1,0,0
"1659",6,0.01428294,0.66,-0.599999999999994,-0.599999999999994,0,0,1,0,0,1,1,0,0
"1666",6,0.02306298,0.55,-0.5,-0.5,0,0,1,0,0,1,1,0,0
"1673",6,0.03248885,0.34,-0.400000000000006,-0.400000000000006,-2,0,1,0,0,1,1,0,0
"1680",6,0.04186092,-1.76,-0.599999999999994,-0.599999999999994,-2,0,1,0,0,1,1,0,0
"1687",6,0.04950041,-1.2,-0.800000000000011,-0.800000000000011,-2,0,1,0,0,1,1,0,0
"1694",6,0.0557484,-1.04,-1,-1,-2,0,1,0,0,1,1,0,0
"1701",6,0.06079018,-0.87,-1.19999999999999,-1.19999999999999,-2,0,1,0,0,1,1,0,0
"1708",6,0.06481618,-0.73,-1.30000000000001,-1.30000000000001,-2,0,1,0,0,1,1,0,0
"1715",6,0.06804523,-0.61,-1.40000000000001,-1.40000000000001,-2,0,1,0,0,1,1,0,0
"1722",6,0.07058988,-0.51,-1.5,-1.5,-4,0,1,0,0,1,1,0,0
"1729",6,0.07214541,-2.63,-1.69999999999999,-1.69999999999999,-4,0,1,0,0,1,1,0,0
"1736",6,0.07122105,-1.97,-2.09999999999999,-2.09999999999999,-4,0,1,0,0,1,1,0,0
"1743",6,0.06786579,-1.67,-2.40000000000001,-2.40000000000001,-4,0,1,0,0,0,0,0,0
"1750",6,0.06258547,-1.41,-2.69999999999999,-2.69999999999999,-4,0,1,0,0,0,0,0,0
"1757",6,0.05564216,-1.18,-2.90000000000001,-2.90000000000001,-4,0,1,0,0,0,0,0,0
"1764",6,0.04728682,-0.99,-3,-3,-4,0,1,0,0,0,0,0,0
"1771",6,0.03771729,-0.83,-3.19999999999999,-3.19999999999999,-4,0,1,0,0,0,0,0,0
"1778",6,0.02717739,-0.7,-3.30000000000001,-3.30000000000001,-4,0,1,0,0,0,0,0,0
"1785",6,0.01574113,-0.59,-3.40000000000001,-3.40000000000001,-4,0,1,0,0,0,0,0,0
"1792",6,0.00358804,-0.5,-3.5,-3.5,-4,0,0,0,0,0,0,0,0
"1799",6,-0.00878242,1.56,-3.59999999999999,-3.59999999999999,-1,0,0,0,0,0,0,0,0
"1806",6,-0.01992608,2.58,-3.19999999999999,-3.19999999999999,-1,0,0,0,0,0,0,0,0
"1813",6,-0.02812405,2.67,-2.80000000000001,-2.80000000000001,-1,0,0,0,0,0,0,0,0
"1820",6,-0.03336554,2.6,-2.40000000000001,-2.40000000000001,-1,0,4,0,0,0,0,0,0
"1827",6,-0.03553828,2.11,-2,-2,-1,0,3,0,0,0,0,0,0
"1834",6,-0.03525455,1.8,-1.69999999999999,-1.69999999999999,-1,0,3,0,0,0,0,0,0
"1841",6,-0.03286719,1.52,-1.40000000000001,-1.40000000000001,-1,0,3,0,0,0,0,0,0
"1848",6,-0.02866934,1.28,-1.19999999999999,-1.19999999999999,-1,0,3,0,0,0,0,0,0
"1855",6,-0.02294541,1.08,-1,-1,-1,0,3,0,0,0,0,0,0
